,date,datatype,station,attributes,value
286,2021-02-06T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
287,2021-02-06T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
288,2021-02-07T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
289,2021-02-07T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
290,2021-02-08T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
291,2021-02-08T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
292,2021-02-09T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
293,2021-02-09T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
294,2021-02-10T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
295,2021-02-10T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
296,2021-02-11T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
297,2021-02-11T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
298,2021-02-12T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.55
299,2021-02-13T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.06
300,2021-02-14T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
301,2021-02-14T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
302,2021-02-15T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.17
303,2021-02-16T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.11
304,2021-02-17T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
305,2021-02-17T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
306,2021-02-18T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
307,2021-02-18T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
308,2021-02-21T00:00:00,DAPR,GHCND:US1CASF0017,",,N,",3.0
309,2021-02-21T00:00:00,MDPR,GHCND:US1CASF0017,",,N,",0.27
310,2021-02-22T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
311,2021-02-22T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
312,2021-02-23T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
